2025-05-06 14:01:30,310 - INFO - Ready for training......
2025-05-06 14:01:30,310 - INFO - Running on device cuda
2025-05-06 14:05:55,258 - INFO - Epoch 128: Loss = 31.6737, Accuracy = 47.60%
2025-05-06 14:05:57,319 - INFO - Epoch 129: Loss = 31.3409, Accuracy = 44.00%
2025-05-06 14:05:59,391 - INFO - Epoch 130: Loss = 30.9523, Accuracy = 46.40%
2025-05-06 14:06:01,450 - INFO - Epoch 131: Loss = 30.5497, Accuracy = 47.20%
2025-05-06 14:06:03,534 - INFO - Epoch 132: Loss = 31.7069, Accuracy = 41.20%
2025-05-06 14:06:05,602 - INFO - Epoch 133: Loss = 31.0263, Accuracy = 41.20%
2025-05-06 14:06:07,662 - INFO - Epoch 134: Loss = 31.0341, Accuracy = 43.60%
2025-05-06 14:06:09,720 - INFO - Epoch 135: Loss = 29.6528, Accuracy = 48.00%
2025-05-06 14:06:11,797 - INFO - Epoch 136: Loss = 31.2095, Accuracy = 47.60%
2025-05-06 14:06:13,850 - INFO - Epoch 137: Loss = 30.6193, Accuracy = 47.20%
2025-05-06 14:06:15,914 - INFO - Epoch 138: Loss = 30.2118, Accuracy = 46.80%
2025-05-06 14:06:17,965 - INFO - Epoch 139: Loss = 30.0536, Accuracy = 46.80%
2025-05-06 14:06:20,005 - INFO - Epoch 140: Loss = 30.1784, Accuracy = 50.00%
2025-05-06 14:06:22,058 - INFO - Epoch 141: Loss = 29.9903, Accuracy = 46.80%
2025-05-06 14:06:24,095 - INFO - Epoch 142: Loss = 30.1781, Accuracy = 45.60%
2025-05-06 14:06:26,167 - INFO - Epoch 143: Loss = 29.4804, Accuracy = 52.00%
2025-05-06 14:06:28,227 - INFO - Epoch 144: Loss = 30.2506, Accuracy = 48.00%
2025-05-06 14:06:30,274 - INFO - Epoch 145: Loss = 30.2479, Accuracy = 46.40%
2025-05-06 14:06:32,327 - INFO - Epoch 146: Loss = 29.5523, Accuracy = 46.40%
2025-05-06 14:06:34,368 - INFO - Epoch 147: Loss = 28.9210, Accuracy = 47.60%
2025-05-06 14:06:36,398 - INFO - Epoch 148: Loss = 29.2597, Accuracy = 49.60%
2025-05-06 14:06:38,473 - INFO - Epoch 149: Loss = 29.9208, Accuracy = 46.40%
2025-05-06 14:06:40,523 - INFO - Epoch 150: Loss = 29.2118, Accuracy = 49.20%
2025-05-06 14:06:42,606 - INFO - Epoch 151: Loss = 28.2834, Accuracy = 54.80%
2025-05-06 14:06:44,680 - INFO - Epoch 152: Loss = 28.2340, Accuracy = 49.20%
2025-05-06 14:06:46,731 - INFO - Epoch 153: Loss = 28.5444, Accuracy = 50.40%
