2025-05-06 13:52:29,471 - INFO - Ready for training......
2025-05-06 13:52:29,471 - INFO - Running on device cuda
2025-05-06 13:52:31,834 - INFO - Epoch 01: Loss = 62.5978, Accuracy = 2.00%
2025-05-06 13:54:13,415 - INFO - True: coriander       | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: coriander       | Predicted: cumin
2025-05-06 13:54:13,415 - INFO - True: pecans          | Predicted: pecans
2025-05-06 13:54:13,415 - INFO - True: pecans          | Predicted: pecans
2025-05-06 13:54:13,415 - INFO - True: pecans          | Predicted: pecans
2025-05-06 13:54:13,415 - INFO - True: pecans          | Predicted: pecans
2025-05-06 13:54:13,415 - INFO - True: pecans          | Predicted: pecans
2025-05-06 13:54:13,415 - INFO - True: pecans          | Predicted: pecans
2025-05-06 13:54:13,415 - INFO - True: pecans          | Predicted: pecans
2025-05-06 13:54:13,415 - INFO - True: pecans          | Predicted: pecans
2025-05-06 13:54:13,415 - INFO - True: pecans          | Predicted: pecans
2025-05-06 13:54:13,415 - INFO - True: asparagus       | Predicted: mint
2025-05-06 13:54:13,415 - INFO - True: asparagus       | Predicted: mint
2025-05-06 13:54:13,415 - INFO - True: asparagus       | Predicted: mint
2025-05-06 13:54:13,415 - INFO - True: asparagus       | Predicted: mint
2025-05-06 13:54:13,415 - INFO - True: asparagus       | Predicted: mint
2025-05-06 13:54:13,415 - INFO - True: asparagus       | Predicted: mint
2025-05-06 13:54:13,415 - INFO - True: asparagus       | Predicted: mint
2025-05-06 13:54:13,415 - INFO - True: asparagus       | Predicted: mint
2025-05-06 13:54:13,415 - INFO - True: asparagus       | Predicted: tomato
2025-05-06 13:54:13,415 - INFO - True: brussel_sprouts | Predicted: brussel_sprouts
2025-05-06 13:54:13,415 - INFO - True: brussel_sprouts | Predicted: brussel_sprouts
2025-05-06 13:54:13,415 - INFO - True: brussel_sprouts | Predicted: brussel_sprouts
2025-05-06 13:54:13,415 - INFO - True: brussel_sprouts | Predicted: brussel_sprouts
2025-05-06 13:54:13,415 - INFO - True: brussel_sprouts | Predicted: brussel_sprouts
2025-05-06 13:54:13,415 - INFO - True: brussel_sprouts | Predicted: brussel_sprouts
2025-05-06 13:54:13,416 - INFO - True: brussel_sprouts | Predicted: brussel_sprouts
2025-05-06 13:54:13,416 - INFO - True: brussel_sprouts | Predicted: brussel_sprouts
